"Linked account","773623060883","336724239914","904233133784","850995569456","296062550163","539247461227","043309349217","779846778438",""
"Linked account name","Dione-AWS-Master ($)","Dione Protocol LLC. ($)","AWS-Core-1 ($)","AWS-Core-5 ($)","AWS-Core-3 ($)","AWS-Core-2 ($)","AWS-Core-4 ($)","Dione Eco ($)","Total costs ($)"
"Linked account total","14260","6180.2563874152","5865.3199364604","4577.4419901877","2363.3301617823","2315.5358340314","2307.418080555","1742.9142934486","39612.2166838806"
"2025-06-01","","158.3623527428","65.8503812943","65.7167371712","65.8644633465","65.8612078123","65.8761841583","51.3400346474","538.8713611728"
"2025-06-02","","164.4191417499","65.9641965433","66.0153451724","66.0052833764","66.0101574563","65.820748011","51.8804984678","546.1153707771"
"2025-06-03","","168.3124094286","66.1072059698","66.0996020199","66.0508288272","66.0391811574","66.1438314217","51.9864164999","550.7394753245"
"2025-06-04","","168.9316319402","65.9358010012","65.9365593099","65.9213889356","65.9337901106","65.9416319575","51.8482043249","550.4490075799"
"2025-06-05","","168.9201257428","65.9555698871","65.9566807957","65.9443929078","65.9541395246","65.9667340055","51.8234648227","550.5211076862"
"2025-06-06","","168.8948442526","65.9537612262","65.9570226232","65.9395861209","65.9504164648","65.9626288224","51.7864921104","550.4447516205"
"2025-06-07","","169.8817277638","65.9239699341","65.9261134937","65.9102256734","65.9208348984","65.9295329314","51.7112975482","551.203702243"
"2025-06-08","","169.8910278652","65.9627063858","65.9642837194","65.948053384","65.9585286536","65.9635158679","52.0943011411","551.782417017"
"2025-06-09","","170.1854533534","66.1087457074","66.1090598811","66.0897161409","66.1053716362","66.1096581233","52.1346551369","552.8426599792"
"2025-06-10","100","131.1197832868","66.7234549975","57.4255069249","41.2021393902","41.212342304","41.2174678066","39.0474761257","517.9481708357"
"2025-06-11","240","76.4009220871","66.2343138102","43.9346501195","5.0274212613","5.0363898286","5.0350975514","20.953725448","462.6225201061"
"2025-06-12","240","76.1505515248","66.2200104579","43.9206275192","5.0069297097","5.0164783899","5.018355586","22.3088084657","463.6417616532"
"2025-06-13","240","75.7518519162","66.1408953951","43.5139163026","4.9314762958","4.9339484645","4.9366326049","22.3451724602","462.5538934393"
"2025-06-14","240","75.8943365785","66.0694088604","43.7703721318","4.8621110088","4.8689706614","4.8693181806","21.8098260039","462.1443434254"
"2025-06-15","240","75.8130629418","66.0570019121","43.7570902334","4.8489633925","4.8568630107","4.8567375723","21.6906954512","461.880414514"
"2025-06-16","240","75.9519306707","66.134831232","43.6949003253","4.9253167913","4.9327665069","4.9316923068","21.8868317253","462.4582695583"
"2025-06-17","240","75.9968510959","66.151618903","43.8566099836","4.9468799495","4.955404439","4.9488505448","21.7410990969","462.5973140127"
"2025-06-18","240","76.1958601852","66.1318084683","43.8316048268","4.9255671807","4.9296599968","4.9265869922","21.7751239211","462.7162115711"
"2025-06-19","240","76.1530378402","66.0545999737","43.7563199229","4.8499744458","4.8555872621","4.8548201471","22.4375906188","462.9619302106"
"2025-06-20","240","75.9441344776","66.0740967357","43.7753271882","4.8672265078","4.8743112461","4.8740768966","22.0124891101","462.4216621621"
"2025-06-21","240","75.8542417875","66.0955578539","43.7967911633","4.8898484045","4.8945573192","4.8975006265","21.7191465025","462.1476436574"
"2025-06-22","240","75.9525315619","66.2354696355","43.9340737515","5.0289087356","5.0345687193","5.0316261135","21.621309633","462.8384881503"
"2025-06-23","240","75.961537551","66.1542488585","43.8542102798","4.9482916065","4.9541372325","4.9538321102","21.8626279611","462.6888855996"
"2025-06-24","240","75.8087320016","66.2361268905","43.9289651608","5.0280014886","5.0325427403","5.0353722337","22.0176739436","463.0874144591"
"2025-06-25","240","75.8087971372","66.1999417466","43.894494652","4.9966338493","4.9932312477","4.9918219","21.8516315867","462.7365521195"
"2025-06-26","240","75.9574809949","67.2335205687","44.8786321667","5.8512714548","5.822955815","5.8502532042","21.7989674106","467.3930816149"
"2025-06-27","240","76.0244248977","66.7324897548","44.4826281528","5.5769903995","5.5318560227","5.5823925788","21.8647147921","465.7954965984"
"2025-06-28","240","75.9834569608","66.1605970525","43.8565629562","4.9536622218","4.9572887121","4.9572067364","21.8387454924","462.7075201322"
"2025-06-29","240","76.0132516858","66.0645638558","43.6873419293","4.859165872","4.8648768667","4.8654814694","21.5345633319","461.8892450109"
"2025-06-30","240","76.1187773916","66.1112991951","43.7961436194","4.9044987808","4.9088429227","4.9103265014","21.6897878211","462.4396762321"
"2025-07-01","240","67.724146605","66.0282940503","42.3170640169","6.1833890871","6.6594896779","2.4037091357","20.2921553943","451.6082479672"
"2025-07-02","240","78.2012107731","66.0788916571","45.032018353","7.5093911903","7.4977987187","7.5082577623","20.235480171","472.0630486255"
"2025-07-03","240","77.9457776896","66.0667891401","45.0092987649","7.5183373438","7.5047010407","7.5179933995","20.4307057758","471.9936031544"
"2025-07-04","240","77.7898805039","66.1353694599","43.537964184","6.0126284313","6.0014073352","6.0113891155","20.4153615225","465.9040005523"
"2025-07-05","240","77.4223723824","66.0573324769","42.3803504278","4.8524207628","4.8483184893","4.8513025804","20.3961012899","460.8081984095"
"2025-07-06","240","77.5340102305","66.0435212664","42.3663092994","4.84035579","4.8349909723","4.8385261134","20.3570704836","460.8147841556"
"2025-07-07","240","78.1657538003","66.5638551518","43.9189622331","5.3617877273","5.357517703","5.3545391231","20.4768779368","465.1992936754"
"2025-07-08","240","78.1420663093","66.3884670799","44.0877462044","5.1816050882","5.1647202689","5.1754570435","20.4718740874","464.6119360816"
"2025-07-09","240","82.7391831952","68.1084040659","45.8040683576","6.9057043855","6.892676161","6.9019088825","20.4953890604","477.8473341081"
"2025-07-10","240","78.7572401551","87.9777571973","65.5187225031","27.2034167069","26.5270782959","26.5090101672","20.3205403423","572.8137653678"
"2025-07-11","240","80.5747899481","110.9134915243","88.3024429728","50.6075977164","49.1831910263","49.1691297271","20.7469085485","689.4975514635"
"2025-07-12","240","81.3604189134","113.6541631491","90.9677643523","53.6118223293","51.8478220301","51.865159882","21.3971592473","704.7043099035"
"2025-07-13","240","81.3157035334","114.9180481154","92.2593746649","54.9886575477","52.9771807321","53.0189898543","21.4239257492","710.901880197"
"2025-07-14","240","81.1164062979","115.0213219348","92.2904075078","54.9654694773","53.1895316463","53.1434168297","21.2823953976","711.0089490914"
"2025-07-15","240","81.3048474665","114.6163780986","93.8381350807","56.6152840872","54.6962475464","54.7413017694","21.54616854","717.3583625888"
"2025-07-16","240","81.2481026246","116.2948642728","96.1211512195","58.910210151","57.0171286613","56.999548129","21.4465562239","728.0375612821"
"2025-07-17","240","81.0054017398","113.5723845772","93.3251788621","55.9888046556","54.276940474","54.2156178057","21.5763729561","713.9607010705"
"2025-07-18","240","81.0646652953","112.8647632136","92.645904703","55.2680229578","53.5261210185","53.4853652803","21.528836868","710.3836793365"
"2025-07-19","240","80.893475748","112.8631978595","92.6229036552","55.2006948893","53.5063359487","53.4087218344","21.4923565334","709.9876864685"
"2025-07-20","240","81.1722663536","112.6229032134","92.2413822157","54.9951251526","53.3123967428","53.2384301239","21.4864791627","709.0689829647"
"2025-07-21","240","81.217822194","114.6773998815","93.5296237183","56.2108225538","54.4453148106","54.3992396907","21.5361805737","716.0164034226"
"2025-07-22","240","80.9225838709","113.7358774324","91.592761523","54.2675067494","52.5155055552","52.4423503984","21.4697902517","706.946375781"
"2025-07-23","240","80.4632647116","113.6525906429","91.2511323886","53.9531100083","52.1387479102","52.0827296316","21.4762830497","705.0178583429"
"2025-07-24","240","80.6053695941","113.1949691738","90.9560962834","53.7357037817","51.9529880782","51.69521826","21.9137019762","704.0540471474"
"2025-07-25","240","80.5270733373","113.6789427346","92.2310745262","54.1284913744","52.2958714155","52.2055847251","22.296118324","707.3631564371"
"2025-07-26","240","80.7419765723","115.00058056","93.8884386594","55.4648512617","53.5337024818","53.5073824297","22.2690362415","714.4059682064"
"2025-07-27","240","80.7442364267","114.8899635066","93.7749567291","55.3480888451","53.4122104441","53.3743980809","22.032747261","713.5766012935"
"2025-07-28","240","80.7488790901","114.7969932036","93.6674726263","55.291205219","53.3428821022","53.2809926769","22.1633468463","713.2917717644"
"2025-07-29","240","81.4383271735","114.1898547481","92.8846167932","54.7771005017","52.8006316713","52.7487360939","22.1830524348","711.0223194165"
"2025-07-30","240","81.6827501704","114.1434978671","92.9914284054","54.5695081773","52.8196861386","52.4588981713","21.971498117","710.6372670471"
"2025-07-31","240","81.5296606769","115.1361457443","93.98347557","55.5686525561","53.8093177228","53.434219779","22.0063856988","715.4678577479"
"2025-08-01","240","70.7487815218","116.9425989963","93.2454684722","54.953876979","55.655054243","55.2899765289","20.4795288451","707.3152855863"
"2025-08-02","240","81.5456899912","119.2439620493","96.7936268605","59.7206336558","57.9840773332","57.6260570546","20.8737995928","733.7878465374"
"2025-08-03","240","82.0952999046","117.7212565925","95.226186566","58.1244294622","56.4030299186","56.0631074385","20.9841588458","726.6174687282"
"2025-08-04","240","81.6726916103","117.2597818188","94.743976293","57.611596212","55.9469874811","55.6052733239","20.9870075258","723.8273142649"
"2025-08-05","240","81.7646501276","116.1466469528","92.7252807196","56.2112211784","54.4037526945","54.1601558662","20.800184733","716.2118922721"
"2025-08-06","240","81.660061582","115.0621020554","90.7302018367","54.9472417814","53.0149130528","52.7889412926","20.7121045347","708.9155661356"
"2025-08-07","240","66.0152798808","98.0783808891","79.6108491421","50.6201785481","49.0383590659","48.6371295915","16.5272817048","648.5274588223"
"2025-08-08","240","","","","","","","","240"